date,open,high,low,close,volume,MACD,RSI
2021-05-19,542.660,563.180,541.730,562.630,8599986,-5.697,45.001
2021-05-20,572.100,587.351,570.820,584.500,8039599,-4.160,52.650
2021-05-21,606.550,608.880,594.776,599.670,16824793,-1.697,57.106
2021-05-24,608.500,629.800,607.040,624.480,13870410,2.231,63.205
2021-05-25,630.640,632.740,619.300,625.910,10885173,5.397,63.527
2021-05-26,629.370,631.750,623.450,628.000,9260774,7.982,64.022
2021-05-27,627.990,630.000,618.400,619.520,14536784,9.241,60.435
2021-05-28,620.040,651.099,620.040,649.780,16113390,12.535,67.444
2021-06-01,650.800,655.525,636.130,650.580,11820075,15.037,67.608
2021-06-02,650.090,676.755,649.420,671.130,14854189,18.466,71.557
2021-06-03,668.030,690.360,663.320,678.790,14500070,21.552,72.884
2021-06-04,684.500,706.440,683.820,703.130,15427907,25.666,76.617
2021-06-07,702.846,712.500,687.710,704.760,14416041,28.727,76.846
2021-06-08,701.090,704.864,690.040,698.280,8096180,30.281,73.743
2021-06-09,700.630,703.000,690.230,694.330,9541437,30.839,71.838
2021-06-10,694.000,699.680,687.040,697.000,7178960,31.137,72.358
2021-06-11,699.180,717.569,697.750,713.010,10394747,32.293,75.301
2021-06-14,716.240,721.580,706.510,720.750,8024164,33.448,76.599
2021-06-15,716.600,720.650,709.118,711.540,6071008,33.237,71.768
2021-06-16,711.650,718.187,703.377,712.410,7655365,32.762,71.948
2021-06-17,710.983,753.400,710.250,746.290,20205197,34.720,77.865
2021-06-18,751.360,775.000,743.360,745.550,24153330,35.799,77.481
2021-06-21,737.410,741.460,712.906,737.090,16789775,35.561,73.041
2021-06-22,738.860,758.550,735.435,755.470,14486729,36.436,76.228
2021-06-23,760.310,766.110,756.310,762.290,8294305,37.250,77.300
2021-06-24,769.110,776.800,763.530,768.220,8016092,37.937,78.220
2021-06-25,771.220,773.820,755.775,761.240,6946300,37.486,74.398
2021-06-28,774.340,803.150,772.760,799.400,12378911,39.749,80.118
2021-06-29,795.300,803.950,786.275,801.070,9186705,41.202,80.325
2021-06-30,799.965,806.500,794.550,800.100,8158821,41.794,79.805
2021-07-01,805.000,818.240,800.760,808.480,11970619,42.450,80.953
2021-07-02,817.605,820.210,811.510,819.480,8580080,43.358,82.369
2021-07-06,829.500,833.680,814.010,827.940,11164070,44.250,83.392
2021-07-07,834.140,835.000,813.282,814.870,10450442,43.402,76.051
2021-07-08,794.260,805.320,788.030,796.110,12567091,40.746,66.943
2021-07-09,798.500,803.205,790.170,802.010,7402589,38.672,68.232
2021-07-12,809.600,821.310,807.510,820.500,8045810,38.081,71.925
2021-07-13,816.020,818.450,804.560,810.000,7248433,36.346,67.151
2021-07-14,814.310,816.710,790.110,793.660,9484361,33.270,60.428
2021-07-15,792.470,793.880,754.340,758.650,13737092,27.687,49.088
2021-07-16,761.190,766.284,722.920,726.440,17186602,20.429,41.392
2021-07-19,716.610,761.680,714.620,751.190,18684417,16.483,48.123
2021-07-20,187.300,188.380,181.640,186.120,43436479,-31.873,12.586
2021-07-21,188.820,195.270,187.420,194.100,37066752,-68.759,13.557
2021-07-22,196.420,198.870,192.760,195.940,32369943,-96.727,13.794
2021-07-23,196.564,197.000,192.500,195.580,19557544,-117.567,13.786
2021-07-26,193.110,194.420,189.140,192.940,20385409,-132.764,13.724
2021-07-27,192.650,196.220,187.410,192.080,24878976,-143.227,13.702
2021-07-28,193.192,196.460,189.950,195.030,20193168,-149.557,14.207
2021-07-29,195.190,198.530,193.280,196.620,19063643,-152.685,14.498
2021-07-30,194.180,196.300,192.630,194.990,18326259,-153.526,14.444
2021-08-02,197.000,199.610,193.610,197.500,21717654,-152.235,14.969
2021-08-03,197.400,202.220,192.200,198.150,30151108,-149.437,15.115
2021-08-04,199.900,203.180,198.280,202.740,23117577,-145.175,16.204
2021-08-05,205.000,207.330,203.420,206.370,21136782,-139.892,17.110
2021-08-06,205.240,205.700,202.100,203.660,17847409,-134.375,16.963
2021-08-09,204.460,205.080,201.430,202.950,14638891,-128.578,16.922
2021-08-10,203.220,204.300,198.345,199.360,17917908,-122.857,16.701
2021-08-11,200.430,200.490,194.300,196.990,18579953,-117.164,16.548
2021-08-12,198.700,200.290,196.200,199.050,15179454,-111.204,17.259
2021-08-13,199.050,202.138,198.510,201.880,18301589,-105.042,18.289
2021-08-16,201.350,202.870,194.530,199.500,21102675,-99.206,18.085
2021-08-17,196.850,197.700,192.670,194.580,20440159,-93.896,17.647
2021-08-18,195.000,196.337,190.000,190.400,28567239,-89.000,17.265
2021-08-19,194.940,204.950,187.620,197.980,76623783,-83.544,20.626
2021-08-20,199.910,208.651,199.330,208.160,67551216,-77.506,25.032
2021-08-23,209.710,219.970,209.500,219.580,57566165,-70.981,29.743
2021-08-24,217.530,219.590,215.350,217.930,29728750,-65.191,29.455
2021-08-25,217.370,224.700,217.220,222.130,34761019,-59.577,31.279
2021-08-26,222.000,223.400,217.900,220.680,23769901,-54.615,30.981
2021-08-27,221.840,227.220,221.670,226.360,30442541,-49.653,33.646
2021-08-30,228.300,230.430,225.510,226.880,26258731,-45.157,33.898
2021-08-31,226.950,226.950,221.200,223.850,25939485,-41.362,33.110
2021-09-01,224.850,226.970,223.565,224.410,20165375,-37.872,33.418
2021-09-02,225.180,225.930,222.945,223.960,18801203,-34.743,33.285
2021-09-03,223.250,229.860,222.000,228.430,28079392,-31.538,36.003
2021-09-07,228.330,228.990,225.224,226.620,19805122,-28.813,35.375
2021-09-08,225.130,226.100,219.770,223.390,25331292,-26.607,34.227
2021-09-09,223.120,225.380,221.310,221.770,19675567,-24.704,33.637
2021-09-10,223.483,226.260,222.700,224.780,24817851,-22.692,35.848
2021-09-13,226.840,229.640,218.580,221.520,29735608,-21.117,34.507
2021-09-14,222.750,224.100,220.860,222.420,19951018,-19.571,35.228
2021-09-15,223.090,223.670,219.660,223.410,16637638,-18.057,36.061
2021-09-16,221.834,222.770,219.270,222.420,15593771,-16.744,35.568
2021-09-17,223.000,223.210,218.300,219.000,29407423,-15.798,33.847
2021-09-20,211.460,214.330,206.620,211.130,34898920,-15.504,30.224
2021-09-21,214.165,214.250,209.500,212.460,20458691,-14.991,31.557
2021-09-22,213.655,219.600,211.960,219.410,26802813,-13.864,38.204
2021-09-23,221.400,225.345,218.900,224.820,24807209,-12.391,42.855
2021-09-24,220.690,221.490,218.610,220.810,21747622,-11.416,40.426
2021-09-27,217.103,217.990,213.250,216.600,24450665,-10.858,37.991
2021-09-28,212.135,214.190,206.510,206.990,34226530,-11.064,33.092
2021-09-29,209.395,210.170,204.670,205.170,21760979,-11.244,32.244
2021-09-30,207.684,210.660,206.880,207.160,21919676,-11.098,34.229
2021-10-01,207.500,208.590,202.030,207.420,24069299,-10.837,34.499
2021-10-04,205.040,205.418,195.550,197.320,34458982,-11.314,29.443
2021-10-05,199.500,206.480,198.540,204.510,27888362,-10.986,36.570
2021-10-06,201.200,207.200,200.800,207.000,29588059,-10.404,38.872
2021-10-07,210.920,213.220,209.720,210.750,25659478,-9.531,42.271
2021-10-08,211.010,212.060,207.750,208.310,15083391,-8.933,40.686
2021-10-11,205.750,210.630,205.110,206.950,16302920,-8.471,39.790
2021-10-12,208.275,210.570,205.280,206.710,16157318,-8.032,39.624
2021-10-13,209.180,209.900,207.130,209.390,17963019,-7.383,42.505
2021-10-14,212.880,217.550,211.220,217.460,24325027,-6.146,50.209
2021-10-15,218.100,219.310,216.620,218.620,22559940,-5.015,51.221
2021-10-18,217.490,222.910,216.440,222.220,18794861,-3.784,54.323
2021-10-19,222.760,223.790,220.370,222.900,16035107,-2.722,54.906
2021-10-20,223.045,224.330,219.820,221.030,14522153,-2.008,52.905
2021-10-21,220.970,227.110,220.830,226.920,18664653,-0.957,58.087
2021-10-22,228.230,231.300,225.610,227.260,24731953,-0.094,58.371
2021-10-25,229.730,233.550,227.700,231.660,22857123,0.933,61.972
2021-10-26,239.890,252.590,239.240,247.170,48449284,2.965,71.371
2021-10-27,244.740,250.900,242.820,244.510,24423336,4.311,68.255
2021-10-28,248.780,249.500,245.230,249.410,23319175,5.707,70.785
2021-10-29,250.005,257.090,250.000,255.670,29104953,7.235,73.672
2021-11-01,256.490,258.940,252.270,258.270,26496432,8.557,74.787
2021-11-02,258.220,266.780,258.000,264.010,29325660,9.954,77.092
2021-11-03,266.700,267.840,262.350,265.980,23987418,11.091,77.841
2021-11-04,272.290,313.650,271.180,298.010,115359552,14.411,85.908
2021-11-05,301.850,314.000,294.100,297.520,85115319,16.809,85.395
2021-11-08,301.490,311.000,299.070,308.040,50302076,19.336,87.165
2021-11-09,322.820,323.100,299.640,306.570,64652219,20.977,85.604
2021-11-10,293.810,308.500,287.780,294.590,63607570,21.069,73.980
2021-11-11,304.680,305.900,297.770,303.900,33216032,21.643,76.635
2021-11-12,300.090,306.800,296.300,303.900,41300224,21.846,76.635
2021-11-15,305.520,306.440,292.470,300.250,38482725,21.465,73.237
2021-11-16,297.590,303.900,297.059,302.030,26444929,21.064,73.846
